Condition ID,Test Vector ID,Branch Taken,Coverage Achieved,Traceability ID
COND_0000,TV_0000,True,True,REQ_GNC_0000
COND_0001,TV_0001,True,True,REQ_GNC_0001
COND_0002,TV_0002,False,True,REQ_GNC_0002
COND_0003,TV_0003,True,True,REQ_GNC_0003
COND_0004,TV_0004,True,True,REQ_GNC_0004
COND_0005,TV_0005,True,True,REQ_GNC_0005
COND_0006,TV_0006,True,True,REQ_GNC_0006
COND_0007,TV_0007,True,True,REQ_GNC_0007
COND_0008,TV_0008,False,True,REQ_GNC_0008
COND_0009,TV_0009,True,True,REQ_GNC_0009
COND_0010,TV_0010,True,True,REQ_GNC_0010
COND_0011,TV_0011,True,True,REQ_GNC_0011
COND_0012,TV_0012,True,True,REQ_GNC_0012
COND_0013,TV_0013,True,True,REQ_GNC_0013
COND_0014,TV_0014,True,True,REQ_GNC_0014
COND_0015,TV_0015,True,True,REQ_GNC_0015
COND_0016,TV_0016,False,True,REQ_GNC_0016
COND_0017,TV_0017,True,True,REQ_GNC_0017
COND_0018,TV_0018,False,True,REQ_GNC_0018
COND_0019,TV_0019,False,True,REQ_GNC_0019
COND_0020,TV_0020,True,True,REQ_GNC_0020
COND_0021,TV_0021,True,True,REQ_GNC_0021
COND_0022,TV_0022,False,True,REQ_GNC_0022
COND_0023,TV_0023,False,True,REQ_GNC_0023
COND_0024,TV_0024,False,True,REQ_GNC_0024
COND_0025,TV_0025,True,True,REQ_GNC_0025
COND_0026,TV_0026,True,True,REQ_GNC_0026
COND_0027,TV_0027,False,True,REQ_GNC_0027
COND_0028,TV_0028,True,True,REQ_GNC_0028
COND_0029,TV_0029,True,True,REQ_GNC_0029
COND_0030,TV_0030,False,True,REQ_GNC_0030
COND_0031,TV_0031,True,True,REQ_GNC_0031
COND_0032,TV_0032,False,True,REQ_GNC_0032
COND_0033,TV_0033,False,True,REQ_GNC_0033
COND_0034,TV_0034,False,True,REQ_GNC_0034
COND_0035,TV_0035,True,True,REQ_GNC_0035
COND_0036,TV_0036,False,True,REQ_GNC_0036
COND_0037,TV_0037,True,True,REQ_GNC_0037
COND_0038,TV_0038,False,True,REQ_GNC_0038
COND_0039,TV_0039,True,True,REQ_GNC_0039
COND_0040,TV_0040,False,True,REQ_GNC_0040
COND_0041,TV_0041,False,True,REQ_GNC_0041
COND_0042,TV_0042,True,True,REQ_GNC_0042
COND_0043,TV_0043,True,True,REQ_GNC_0043
COND_0044,TV_0044,True,True,REQ_GNC_0044
COND_0045,TV_0045,True,True,REQ_GNC_0045
COND_0046,TV_0046,False,True,REQ_GNC_0046
COND_0047,TV_0047,True,True,REQ_GNC_0047
COND_0048,TV_0048,True,True,REQ_GNC_0048
COND_0049,TV_0049,True,True,REQ_GNC_0049
COND_0050,TV_0050,False,True,REQ_GNC_0050
COND_0051,TV_0051,False,True,REQ_GNC_0051
COND_0052,TV_0052,False,True,REQ_GNC_0052
COND_0053,TV_0053,False,True,REQ_GNC_0053
COND_0054,TV_0054,True,True,REQ_GNC_0054
COND_0055,TV_0055,False,True,REQ_GNC_0055
COND_0056,TV_0056,False,True,REQ_GNC_0056
COND_0057,TV_0057,True,True,REQ_GNC_0057
COND_0058,TV_0058,False,True,REQ_GNC_0058
COND_0059,TV_0059,True,True,REQ_GNC_0059
COND_0060,TV_0060,True,True,REQ_GNC_0060
COND_0061,TV_0061,True,True,REQ_GNC_0061
COND_0062,TV_0062,True,True,REQ_GNC_0062
COND_0063,TV_0063,False,True,REQ_GNC_0063
COND_0064,TV_0064,False,True,REQ_GNC_0064
COND_0065,TV_0065,False,True,REQ_GNC_0065
COND_0066,TV_0066,True,True,REQ_GNC_0066
COND_0067,TV_0067,False,True,REQ_GNC_0067
COND_0068,TV_0068,True,True,REQ_GNC_0068
COND_0069,TV_0069,True,True,REQ_GNC_0069
COND_0070,TV_0070,True,True,REQ_GNC_0070
COND_0071,TV_0071,False,True,REQ_GNC_0071
COND_0072,TV_0072,False,True,REQ_GNC_0072
COND_0073,TV_0073,False,True,REQ_GNC_0073
COND_0074,TV_0074,True,True,REQ_GNC_0074
COND_0075,TV_0075,True,True,REQ_GNC_0075
COND_0076,TV_0076,False,True,REQ_GNC_0076
COND_0077,TV_0077,True,True,REQ_GNC_0077
COND_0078,TV_0078,False,True,REQ_GNC_0078
COND_0079,TV_0079,False,True,REQ_GNC_0079
COND_0080,TV_0080,False,True,REQ_GNC_0080
COND_0081,TV_0081,True,True,REQ_GNC_0081
COND_0082,TV_0082,False,True,REQ_GNC_0082
COND_0083,TV_0083,True,True,REQ_GNC_0083
COND_0084,TV_0084,True,True,REQ_GNC_0084
COND_0085,TV_0085,False,True,REQ_GNC_0085
COND_0086,TV_0086,False,True,REQ_GNC_0086
COND_0087,TV_0087,False,True,REQ_GNC_0087
COND_0088,TV_0088,False,True,REQ_GNC_0088
COND_0089,TV_0089,True,True,REQ_GNC_0089
COND_0090,TV_0090,True,True,REQ_GNC_0090
COND_0091,TV_0091,False,True,REQ_GNC_0091
COND_0092,TV_0092,True,True,REQ_GNC_0092
COND_0093,TV_0093,True,True,REQ_GNC_0093
COND_0094,TV_0094,True,True,REQ_GNC_0094
COND_0095,TV_0095,True,True,REQ_GNC_0095
COND_0096,TV_0096,True,True,REQ_GNC_0096
COND_0097,TV_0097,False,True,REQ_GNC_0097
COND_0098,TV_0098,True,True,REQ_GNC_0098
COND_0099,TV_0099,False,True,REQ_GNC_0099
COND_0100,TV_0100,False,True,REQ_GNC_0100
COND_0101,TV_0101,False,True,REQ_GNC_0101
COND_0102,TV_0102,False,True,REQ_GNC_0102
COND_0103,TV_0103,True,True,REQ_GNC_0103
COND_0104,TV_0104,True,True,REQ_GNC_0104
COND_0105,TV_0105,False,True,REQ_GNC_0105
COND_0106,TV_0106,False,True,REQ_GNC_0106
COND_0107,TV_0107,True,True,REQ_GNC_0107
COND_0108,TV_0108,False,True,REQ_GNC_0108
COND_0109,TV_0109,False,True,REQ_GNC_0109
COND_0110,TV_0110,True,True,REQ_GNC_0110
COND_0111,TV_0111,False,True,REQ_GNC_0111
COND_0112,TV_0112,True,True,REQ_GNC_0112
COND_0113,TV_0113,False,True,REQ_GNC_0113
COND_0114,TV_0114,True,True,REQ_GNC_0114
COND_0115,TV_0115,True,True,REQ_GNC_0115
COND_0116,TV_0116,False,True,REQ_GNC_0116
COND_0117,TV_0117,True,True,REQ_GNC_0117
COND_0118,TV_0118,True,True,REQ_GNC_0118
COND_0119,TV_0119,False,True,REQ_GNC_0119
COND_0120,TV_0120,True,True,REQ_GNC_0120
COND_0121,TV_0121,True,True,REQ_GNC_0121
COND_0122,TV_0122,False,True,REQ_GNC_0122
COND_0123,TV_0123,False,True,REQ_GNC_0123
COND_0124,TV_0124,True,True,REQ_GNC_0124
COND_0125,TV_0125,True,True,REQ_GNC_0125
COND_0126,TV_0126,False,True,REQ_GNC_0126
COND_0127,TV_0127,False,True,REQ_GNC_0127
COND_0128,TV_0128,True,True,REQ_GNC_0128
COND_0129,TV_0129,True,True,REQ_GNC_0129
COND_0130,TV_0130,True,True,REQ_GNC_0130
COND_0131,TV_0131,True,True,REQ_GNC_0131
COND_0132,TV_0132,True,True,REQ_GNC_0132
COND_0133,TV_0133,False,True,REQ_GNC_0133
COND_0134,TV_0134,True,True,REQ_GNC_0134
COND_0135,TV_0135,True,True,REQ_GNC_0135
COND_0136,TV_0136,True,True,REQ_GNC_0136
COND_0137,TV_0137,False,True,REQ_GNC_0137
COND_0138,TV_0138,True,True,REQ_GNC_0138
COND_0139,TV_0139,False,True,REQ_GNC_0139
COND_0140,TV_0140,False,True,REQ_GNC_0140
COND_0141,TV_0141,True,True,REQ_GNC_0141
COND_0142,TV_0142,True,True,REQ_GNC_0142
COND_0143,TV_0143,False,True,REQ_GNC_0143
COND_0144,TV_0144,False,True,REQ_GNC_0144
COND_0145,TV_0145,False,True,REQ_GNC_0145
COND_0146,TV_0146,False,True,REQ_GNC_0146
COND_0147,TV_0147,False,True,REQ_GNC_0147
COND_0148,TV_0148,True,True,REQ_GNC_0148
COND_0149,TV_0149,True,True,REQ_GNC_0149
COND_0150,TV_0150,True,True,REQ_GNC_0150
COND_0151,TV_0151,True,True,REQ_GNC_0151
COND_0152,TV_0152,False,True,REQ_GNC_0152
COND_0153,TV_0153,True,True,REQ_GNC_0153
COND_0154,TV_0154,True,True,REQ_GNC_0154
COND_0155,TV_0155,True,True,REQ_GNC_0155
COND_0156,TV_0156,True,True,REQ_GNC_0156
COND_0157,TV_0157,True,True,REQ_GNC_0157
COND_0158,TV_0158,True,True,REQ_GNC_0158
COND_0159,TV_0159,True,True,REQ_GNC_0159
COND_0160,TV_0160,True,True,REQ_GNC_0160
COND_0161,TV_0161,True,True,REQ_GNC_0161
COND_0162,TV_0162,False,True,REQ_GNC_0162
COND_0163,TV_0163,True,True,REQ_GNC_0163
COND_0164,TV_0164,True,True,REQ_GNC_0164
COND_0165,TV_0165,False,True,REQ_GNC_0165
COND_0166,TV_0166,False,True,REQ_GNC_0166
COND_0167,TV_0167,True,True,REQ_GNC_0167
COND_0168,TV_0168,True,True,REQ_GNC_0168
COND_0169,TV_0169,False,True,REQ_GNC_0169
COND_0170,TV_0170,True,True,REQ_GNC_0170
COND_0171,TV_0171,False,True,REQ_GNC_0171
COND_0172,TV_0172,False,True,REQ_GNC_0172
COND_0173,TV_0173,True,True,REQ_GNC_0173
COND_0174,TV_0174,True,True,REQ_GNC_0174
COND_0175,TV_0175,True,True,REQ_GNC_0175
COND_0176,TV_0176,False,True,REQ_GNC_0176
COND_0177,TV_0177,False,True,REQ_GNC_0177
COND_0178,TV_0178,False,True,REQ_GNC_0178
COND_0179,TV_0179,False,True,REQ_GNC_0179
COND_0180,TV_0180,False,True,REQ_GNC_0180
COND_0181,TV_0181,True,True,REQ_GNC_0181
COND_0182,TV_0182,True,True,REQ_GNC_0182
COND_0183,TV_0183,True,True,REQ_GNC_0183
COND_0184,TV_0184,False,True,REQ_GNC_0184
COND_0185,TV_0185,False,True,REQ_GNC_0185
COND_0186,TV_0186,True,True,REQ_GNC_0186
COND_0187,TV_0187,True,True,REQ_GNC_0187
COND_0188,TV_0188,True,True,REQ_GNC_0188
COND_0189,TV_0189,True,True,REQ_GNC_0189
COND_0190,TV_0190,False,True,REQ_GNC_0190
COND_0191,TV_0191,True,True,REQ_GNC_0191
COND_0192,TV_0192,False,True,REQ_GNC_0192
COND_0193,TV_0193,True,True,REQ_GNC_0193
COND_0194,TV_0194,False,True,REQ_GNC_0194
COND_0195,TV_0195,False,True,REQ_GNC_0195
COND_0196,TV_0196,True,True,REQ_GNC_0196
COND_0197,TV_0197,True,True,REQ_GNC_0197
COND_0198,TV_0198,False,True,REQ_GNC_0198
COND_0199,TV_0199,True,True,REQ_GNC_0199
